　A00-A09　腸管感染症
A20　ペスト
A20.0　腺ペスト
A20.1　皮膚結合織ペスト
A20.2　肺ペスト
A20.3　ペスト髄膜炎
A20.7　ペスト敗血症
A20.8　その他の型のペスト
A20.9　ペスト，詳細不明
A21　野兎病＜ツラレミア＞
A21.0　潰瘍リンパ節型野兎病＜ツラレミア＞
A21.1　眼リンパ節型野兎病＜ツラレミア＞
A21.2　肺野兎病＜ツラレミア＞
A21.3　胃腸野兎病＜ツラレミア＞
A21.7　全身性野兎病＜ツラレミア＞
A21.8　その他の型の野兎病＜ツラレミア＞
A21.9　野兎病＜ツラレミア＞，詳細不明
A22　炭疽
A22.0　皮膚炭疽
A22.1　肺炭疽
A22.2　胃腸炭疽
A22.7　炭疽敗血症
A22.8　その他の型の炭疽
A22.9　炭疽，詳細不明
A23　ブルセラ症
A23.0　メリテンジス菌によるブルセラ症
A23.1　ウシ流産菌によるブルセラ症
A23.2　ブタ流産菌によるブルセラ症
A23.3　イヌ流産菌によるブルセラ症
A23.8　その他のブルセラ症
A23.9　ブルセラ症，詳細不明
A24　鼻疽及び類鼻疽
A24.0　鼻疽
A24.1　急性及び劇症類鼻疽
A24.2　亜急性及び慢性類鼻疽
A24.3　その他の類鼻疽
A24.4　類鼻疽，詳細不明
A25　鼠咬症
A25.0　鼠咬症スピリルム症＜ラセン菌症＞
A25.1　モニリフォルム連鎖桿菌症
A25.9　鼠咬症，詳細不明
A26　類丹毒
A26.0　皮膚類丹毒
A26.7　類丹毒性敗血症
A26.8　その他の型の類丹毒
A26.9　類丹毒，詳細不明
A27　レプトスピラ症
A27.0　黄疸出血性レプトスピラ症＜ワイル病＞
A27.8　その他の型のレプトスピラ症
A27.9　レプトスピラ症，詳細不明
A28　その他の人畜共通細菌性疾患，他に分類されないもの
A28.0　パスツレラ症
A28.1　ネコひっかき＜猫掻＞病
A28.2　腸管外エルシニア症
A28.8　その他の明示された人畜共通細菌性疾患，他に分類されないもの
A28.9　人畜共通細菌性疾患，詳細不明
　A30-A49　その他の細菌性疾患
A30　ハンセン＜Hansen＞病
A30.0　ハンセン＜Hansen＞病I群
A30.1　ハンセン＜Hansen＞病TT型
A30.2　ハンセン＜Hansen＞病BT型
A30.3　ハンセン＜Hansen＞病BB型
A30.4　ハンセン＜Hansen＞病BL型
A30.5　ハンセン＜Hansen＞病LL型
A30.8　その他の型のハンセン＜Hansen＞病
A30.9　ハンセン＜Hansen＞病，詳細不明
A31　その他の非結核性抗酸菌による感染症
A31.0　肺非結核性抗酸菌感染症
A31.1　皮膚非結核性抗酸菌感染症
A31.8　その他の非結核性抗酸菌感染症
A31.9　非結核性抗酸菌感染症，詳細不明
A32　リステリア症
A32.0　皮膚リステリア症
A32.1　リステリア性髄膜炎及び髄膜脳炎
A32.7　リステリア性敗血症
A32.8　その他の型のリステリア症
A32.9　リステリア症，詳細不明
A33　新生児破傷風
A34　産科破傷風
A35　その他の破傷風
A36　ジフテリア
A36.0　咽頭ジフテリア
A36.1　鼻咽頭ジフテリア
A36.2　喉頭ジフテリア
A36.3　皮膚ジフテリア
A36.8　その他のジフテリア
A36.9　ジフテリア，詳細不明
A37　百日咳
A37.0　百日咳菌による百日咳
A37.1　パラ百日咳菌による百日咳
A37.8　その他のボルデテラ属菌種による百日咳
A37.9　百日咳，詳細不明
A38　猩紅熱
A39　髄膜炎菌感染症
A39.0　髄膜炎菌性髄膜炎
A39.1　ウォーターハウス・フリーデリクセン＜Waterhouse-Friderichsen＞症候群
A39.2　急性髄膜炎菌菌血症
A39.3　慢性髄膜炎菌菌血症
A39.4　髄膜炎菌菌血症，詳細不明
A39.5　髄膜炎菌性心疾患
A39.8　その他の髄膜炎菌感染症
A39.9　髄膜炎菌感染症，詳細不明
A40　連鎖球菌性敗血症
A40.0　A群連鎖球菌による敗血症
A40.1　B群連鎖球菌による敗血症
A40.2　D群連鎖球菌による敗血症
A40.3　肺炎連鎖球菌による敗血症
A40.8　その他の連鎖球菌性敗血症
A40.9　連鎖球菌性敗血症，詳細不明
A41　その他の敗血症
A41.0　黄色ブドウ球菌による敗血症
A41.1　その他の明示されたブドウ球菌による敗血症
A41.2　詳細不明のブドウ球菌による敗血症
A41.3　インフルエンザ菌による敗血症
A41.4　嫌気性菌による敗血症
A41.5　その他のグラム陰性菌による敗血症
A41.8　その他の明示された敗血症
A41.9　敗血症，詳細不明
A42　放線菌症＜アクチノミセス症＞
A42.0　肺放線菌症＜アクチノミセス症＞
A42.1　腹部放線菌症＜アクチノミセス症＞
A42.2　頚部顔面放線菌症＜アクチノミセス症＞
A42.7　放線菌症＜アクチノミセス症＞性敗血症
A42.8　その他の型の放線菌症＜アクチノミセス症＞
A42.9　放線菌症＜アクチノミセス症＞，詳細不明
A43　ノカルジア症
A43.0　肺ノカルジア症
A43.1　皮膚ノカルジア症
A43.8　その他の型のノカルジア症
A43.9　ノカルジア症，詳細不明
A44　バルトネラ症
A44.0　全身性バルトネラ症
A44.1　皮膚及び皮膚粘膜バルトネラ症
A44.8　その他の型のバルトネラ症
A44.9　バルトネラ症，詳細不明
A46　丹毒
A48　その他の細菌性疾患，他に分類されないもの
A48.0　ガスえ＜壊＞疽
A48.1　レジオネラ症＜在郷軍人病＞
A48.2　非肺炎性レジオネラ症［ポンティアック＜Pontiac＞熱］
A48.3　毒素ショック症候群
A48.4　ブラジル紫斑熱
A48.8　その他の明示された細菌性疾患
A49　部位不明の細菌感染症
A49.0　ブドウ球菌感染症，部位不明
A49.1　連鎖球菌感染症，部位不明
A49.2　インフルエンザ菌感染症，部位不明
A49.3　マイコプラズマ感染症，部位不明
A49.8　部位不明のその他の細菌感染症
A49.9　細菌感染症，詳細不明
　A50-A64　主として性的伝播様式をとる感染症
A50　先天梅毒
A50.0　早期先天梅毒，顕症
A50.1　早期先天梅毒，潜伏性
A50.2　早期先天梅毒，詳細不明
A50.3　晩期先天梅毒性眼障害
A50.4　晩期先天神経梅毒［若年（性）神経梅毒］
A50.5　その他の晩期先天梅毒，顕症
A50.6　晩期先天梅毒，潜伏性
A50.7　晩期先天梅毒，詳細不明
A50.9　先天梅毒，詳細不明
A51　早期梅毒
A51.0　第１期性器梅毒
A51.1　第１期肛門梅毒
A51.2　その他の部位の第１期梅毒
A51.3　皮膚及び粘膜の第２期梅毒
A51.4　その他の第２期梅毒
A51.5　早期梅毒，潜伏性
A51.9　早期梅毒，詳細不明
A52　晩期梅毒
A52.0　心血管梅毒
A52.1　症候性神経梅毒
A52.2　無症候性神経梅毒
A52.3　神経梅毒，詳細不明
A52.7　その他の症候性晩期梅毒
A52.8　晩期梅毒，潜伏性
A52.9　晩期梅毒，詳細不明
A53　その他及び詳細不明の梅毒
A53.0　潜伏（性）梅毒，早期か晩期か不明
A53.9　梅毒，詳細不明
A54　淋菌感染症
A54.0　下部尿路性器の淋菌感染症，尿道周囲膿瘍又は副腺膿瘍を伴わないもの
A54.1　下部尿路性器の淋菌感染症，尿道周囲膿瘍及び副腺膿瘍を伴うもの
A54.2　淋菌性骨盤腹膜炎及びその他の淋菌性腎尿路生殖器感染症
A54.3　眼の淋菌感染症
A54.4　筋骨格系の淋菌感染症
A54.5　淋菌性咽頭炎
A54.6　肛門及び直腸の淋菌感染症
A54.8　その他の淋菌感染症
A54.9　淋菌感染症，詳細不明
A55　クラミジア性リンパ肉芽腫（性病性）
A56　その他の性的伝播性クラミジア疾患
A56.0　下部尿路性器のクラミジア感染症
A56.1　骨盤腹膜及びその他の腎尿路生殖器のクラミジア感染症
A56.2　尿路性器のクラミジア感染症，詳細不明
A56.3　肛門及び直腸のクラミジア感染症
A56.4　咽頭のクラミジア感染症
A56.8　その他の部位の性的伝播性クラミジア感染症
A57　軟性下疳（部）肉芽腫
A58　そけい＜鼠径＞
A59　トリコモナス症
A59.0　泌尿生殖器トリコモナス症
A59.8　その他の部位のトリコモナス症
A59.9　トリコモナス症，詳細不明
A60　肛門性器ヘルペスウイルス［単純ヘルペス］感染症
A60.0　性器及び尿路のヘルペスウイルス感染症
A60.1　肛門周囲皮膚及び直腸のヘルペスウイルス感染症
A60.9　肛門性器ヘルペスウイルス感染症，詳細不明
A63　主として性的伝播様式をとるその他の感染症，他に分類されないもの
A63.0　肛門性器（性病性）いぼ＜疣＞＜疣贅＞
A63.8　主として性的伝播様式をとるその他の明示された感染症
A64　性的伝播様式をとる詳細不明の感染症
　A65-A69　その他のスピロヘータ疾患
A65　非性病性梅毒
A66　フランベジア＜yaws＞
A66.0　初期フランベジア＜yaws＞病変
A66.1　多発（性）乳頭腫及びウエットクラブフランベジア＜wet crab yaws＞
A66.2　その他のフランベジア＜yaws＞性早期皮膚病変
A66.3　フランベジア＜yaws＞性（過）角化症＜角質増殖症＞
A66.4　フランベジア＜yaws＞性ゴム腫及び潰瘍
A66.5　ガンゴザ＜gangosa＞
A66.6　フランベジア＜yaws＞性骨及び関節病変
A66.7　その他のフランベジア＜yaws＞の症状発現
A66.8　潜伏フランベジア＜yaws＞
A66.9　フランベジア＜yaws＞，詳細不明
A67　ピンタ＜pinta＞［カラート＜carate＞］
A67.0　初期ピンタ＜pinta＞病変
A67.1　中期ピンタ＜pinta＞病変
A67.2　晩期ピンタ＜pinta＞病変
A67.3　ピンタ＜pinta＞の混合型病変
A67.9　ピンタ＜pinta＞，詳細不明
A68　回帰熱
A68.0　シラミ媒介性回帰熱
A68.1　ダニ媒介性回帰熱
A68.9　回帰熱，詳細不明
A69　その他のスピロヘータ感染症
A69.0　え＜壊＞死性潰瘍性口内炎
A69.1　その他のヴァンサン＜Vincent＞感染症
A69.2　ライム＜Lyme＞病
A69.8　その他の明示されたスピロヘータ感染症
A69.9　スピロヘータ感染症，詳細不明
　A70-A74　クラミジアによるその他の疾患
A70　オウム病クラミジア感染症
A71　トラコーマ
A71.0　初期トラコーマ
A71.1　活動期トラコーマ
A71.9　トラコーマ，詳細不明
A74　クラミジアによるその他の疾患
A74.0　クラミジア結膜炎
A74.8　その他のクラミジア疾患
A74.9　クラミジア感染症，詳細不明
　A75-A79　リケッチア症
A75　発疹チフス
A75.0　発疹チフスリケッチアによる流行性シラミ媒介性発疹チフス
A75.1　再燃発疹チフス［ブリル＜Brill＞病］
A75.2　発疹熱リケッチアによる発疹チフス
A75.3　つつが＜恙＞虫病リケッチアによる発疹チフス
A75.9　発疹チフス，詳細不明
A77　紅斑熱［マダニ媒介リケッチア症］
A77.0　リケッチアリケッチイによる紅斑熱
A77.1　リケッチアコノリイによる紅斑熱
A77.2　リケッチアシベリカによる紅斑熱
A77.3　リケッチアオーストラリスによる紅斑熱
A77.8　その他の紅斑熱
A77.8a　日本紅斑熱＜リケッチアジャポニカによる紅斑熱＞
A77.8b　その他の紅斑熱
A77.9　紅斑熱，詳細不明
A78　Q熱
A79　その他のリケッチア症
A79.0　塹壕熱
A79.1　リケッチアアカリによるリケッチア痘症
A79.8　その他の明示されたリケッチア症
A79.9　リケッチア症，詳細不明
　A80-A89　中枢神経系のウイルス感染症
A80　急性灰白髄炎＜ポリオ＞
A80.0　急性麻痺性灰白髄炎＜ポリオ＞，ワクチン関連
A80.1　急性麻痺性灰白髄炎＜ポリオ＞，輸入野生株
A80.2　急性麻痺性灰白髄炎＜ポリオ＞，国内野生株
A80.3　急性麻痺性灰白髄炎＜ポリオ＞，その他及び詳細不明
A80.4　急性非麻痺性灰白髄炎＜ポリオ＞
A80.9　急性灰白髄炎＜ポリオ＞，詳細不明
A81　中枢神経系の非定型ウイルス感染症
A81.0　クロイツフェルト・ヤコブ＜Creutzfeldt-Jakob＞病
A81.1　亜急性硬化性全脳炎＜SSPE＞
A81.2　進行性多巣性白質脳症
A81.8　中枢神経系のその他の非定型ウイルス感染症
A81.9　中枢神経系の非定型ウイルス感染症，詳細不明
A82　狂犬病
A82.0　森林狂犬病
A82.1　都市狂犬病
A82.9　狂犬病，詳細不明
A83　蚊媒介ウイルス（性）脳炎
A83.0　日本脳炎
A83.1　西部馬脳炎
A83.2　東部馬脳炎
A83.3　セントルイス脳炎
A83.4　オーストラリア脳炎
A83.5　カリフォルニア脳炎
A83.6　ロシオ＜Rocio＞ウイルス病
A83.8　その他の蚊媒介ウイルス（性）脳炎
A83.9　蚊媒介ウイルス（性）脳炎，詳細不明
A84　ダニ媒介ウイルス（性）脳炎
A84.0　極東ダニ媒介脳炎［ロシア春夏脳炎］
A84.1　中央ヨーロッパダニ媒介脳炎
A84.8　その他のダニ媒介ウイルス（性）脳炎
A84.9　ダニ媒介ウイルス（性）脳炎，詳細不明
A85　その他のウイルス（性）脳炎，他に分類されないもの
A85.0　エンテロウイルス（性）脳炎
A85.1　アデノウイルス脳炎
A85.2　節足動物媒介ウイルス（性）脳炎，詳細不明
A85.8　その他の明示されたウイルス（性）脳炎
A86　詳細不明のウイルス（性）脳炎
A87　ウイルス（性）髄膜炎
A87.0　エンテロウイルス（性）髄膜炎
A87.1　アデノウイルス髄膜炎
A87.2　リンパ球性脈絡髄膜炎
A87.8　その他のウイルス（性）髄膜炎
A87.9　ウイルス（性）髄膜炎，詳細不明
A88　中枢神経系のその他のウイルス感染症，他に分類されないもの
A88.0　腸内ウイルス性発疹熱［ボストン発疹］
A88.1　流行性めまい＜眩暈＞
A88.8　中枢神経系のその他の明示されたウイルス感染症
A89　中枢神経系の詳細不明のウイルス感染症
　A90-A99　節足動物媒介ウイルス熱及びウイルス性出血熱
A90　デング熱［古典デング］
A91　デング出血熱
A92　その他の蚊媒介ウイルス熱
A92.0　チクングニア＜Chikungunya＞ウイルス病
A92.1　オニオニオン＜O'nyong-nyong＞熱
A92.2　ベネズエラ馬熱
A92.3　西ナイルウイルス感染症
A92.4　リフトバレー＜Rift Valley＞熱
A92.8　その他の明示された蚊媒介ウイルス熱
A92.9　蚊媒介ウイルス熱，詳細不明
A93　その他の節足動物媒介ウイルス熱，他に分類されないもの
A93.0　オロプーシェ＜Oropouche＞ウイルス病
A93.1　サシチョウバエ熱
A93.2　コロラドダニ熱
A93.8　その他の明示された節足動物媒介ウイルス熱
A94　詳細不明の節足動物媒介ウイルス熱
A95　黄熱
A95.0　森林黄熱
A95.1　都市黄熱
A95.9　黄熱，詳細不明
A96　アレナウイルス出血熱
A96.0　フニン＜Junin＞出血熱
A96.1　マチュポ＜Machupo＞出血熱
A96.2　ラッサ熱
A96.8　その他のアレナウイルス出血熱
A96.9　アレナウイルス出血熱，詳細不明
A98　その他のウイルス性出血熱，他に分類されないもの
A98.0　クリミヤ・コンゴ＜Crimean-Congo＞出血熱
A98.1　オムスク＜Omsk＞出血熱
A98.2　キャサヌール＜Kyasanur＞森林病
A98.3　マールブルグ＜Marburg＞ウイルス病
A98.4　エボラ＜Ebola＞ウイルス病
A98.5　腎症候性出血熱＜HFRS＞
A98.8　その他の明示されたウイルス性出血熱
A99　詳細不明のウイルス性出血熱
　B00-B09　皮膚及び粘膜病変を特徴とするウイルス感染症
B00　ヘルペスウイルス［単純ヘルペス］感染症
B00.0　疱疹性湿疹
B00.1　ヘルペスウイルス（性）小水疱性皮膚炎
B00.2　ヘルペスウイルス（性）歯肉口内炎及び咽頭扁桃炎
B00.3　ヘルペスウイルス（性）髄膜炎
B00.4　ヘルペスウイルス（性）脳炎
B00.5　ヘルペスウイルス（性）眼疾患
B00.7　播種性ヘルペスウイルス性疾患
B00.8　その他の型のヘルペスウイルス感染症
B00.9　ヘルペスウイルス感染症，詳細不明
B01　水痘［鶏痘］
B01.0　水痘髄膜炎
B01.1　水痘脳炎
B01.2　水痘肺炎
B01.8　水痘，その他の合併症を伴うもの
B01.9　水痘，合併症を伴わないもの
B02　帯状疱疹［帯状ヘルペス］
B02.0　帯状疱疹（性）脳炎
B02.1　帯状疱疹（性）髄膜炎
B02.2　帯状疱疹，その他の神経系合併症を伴うもの
B02.3　帯状疱疹（性）眼疾患
B02.7　播種性帯状疱疹
B02.8　帯状疱疹，その他の合併症を伴うもの
B02.9　帯状疱疹，合併症を伴わないもの
B03　痘瘡
B04　サル痘
B05　麻疹
B05.0　麻疹，脳炎を合併するもの
B05.1　麻疹，髄膜炎を合併するもの
B05.2　麻疹，肺炎を合併するもの
B05.3　麻疹，中耳炎を合併するもの
B05.4　麻疹，腸管合併症を伴うもの
B05.8　麻疹，その他の合併症を伴うもの
B05.9　麻疹，合併症を伴わないもの
B06　風疹［ドイツ麻疹］
B06.0　風疹，神経合併症を伴うもの
B06.8　風疹，その他の合併症を伴うもの
B06.9　風疹，合併症を伴わないもの
B07　ウイルス（性）いぼ＜疣＞＜疣贅＞
B08　皮膚及び粘膜病変を特徴とするその他のウイルス感染症，他に分類されないもの
B08.0　その他のオルソポックスウイルス感染症
B08.1　伝染性軟属腫
B08.2　突発性発疹［第６病］
B08.3　伝染性紅斑［第５病］
B08.4　発疹を伴うエンテロウイルス性小水疱性口内炎
B08.5　エンテロウイルス性水疱性咽頭炎
B08.8　皮膚及び粘膜病変を特徴とするその他の明示されたウイルス感染症
B09　詳細不明の皮膚及び粘膜病変を特徴とするウイルス感染症
　B15-B19　ウイルス性肝炎
B15　急性A型肝炎
B15.0　急性A型肝炎，肝性昏睡を伴うもの
B15.9　急性A型肝炎，肝性昏睡を伴わないもの
B16　急性B型肝炎
B16.0　急性B型肝炎，デルタ因子（重複感染）及び肝性昏睡を伴うもの
B16.1　急性B型肝炎，デルタ因子（重複感染）を伴い，肝性昏睡を伴わないもの
B16.2　急性B型肝炎，デルタ因子を伴わず，肝性昏睡を伴うもの
B16.9　急性B型肝炎，デルタ因子及び肝性昏睡を伴わないもの
B17　その他の急性ウイルス性肝炎
B17.0　B型肝炎キャリア＜病原体保有者＞の急性デルタ（重）感染症
B17.1　急性C型肝炎
B17.2　急性E型肝炎
B17.8　その他の明示された急性ウイルス性肝炎
B17.9　急性ウイルス性肝炎，詳細不明
B18　慢性ウイルス性肝炎
B18.0　慢性B型ウイルス性肝炎，デルタ因子（重複感染）を伴うもの
B18.1　慢性B型ウイルス性肝炎，デルタ因子（重複感染）を伴わないもの
B18.2　慢性C型ウイルス性肝炎
B18.8　その他の慢性ウイルス性肝炎
B18.9　慢性ウイルス性肝炎，詳細不明
B19　詳細不明のウイルス性肝炎
B19.0　詳細不明のウイルス性肝炎，肝性昏睡を伴うもの
B19.9　詳細不明のウイルス性肝炎，肝性昏睡を伴わないもの
　B20-B24　ヒト免疫不全ウイルス［HIV］病
B20　感染症及び寄生虫症を起こしたヒト免疫不全ウイルス［HIV］病
B20.0　マイコバクテリウム感染症を起こしたHIV病
B20.1　その他の細菌感染症を起こしたHIV病
B20.2　サイトメガロウイルス病を起こしたHIV病
B20.3　その他のウイルス感染症を起こしたHIV病
B20.4　カンジダ症を起こしたHIV病
B20.5　その他の真菌症を起こしたHIV病
B20.6　ニューモシスチス・イロベチイ肺炎を起こしたHIV病
B20.7　複合感染症を起こしたHIV病
B20.8　その他の感染症及び寄生虫症を起こしたHIV病
B20.9　詳細不明の感染症又は寄生虫症を起こしたHIV病
B21　悪性新生物＜腫瘍＞を起こしたヒト免疫不全ウイルス［HIV］病
B21.0　カポジ＜Kaposi＞肉腫を起こしたHIV病
B21.1　バーキット＜Burkitt＞リンパ腫を起こしたHIV病
B21.2　その他の型の非ホジキン＜non- Hodgkin＞リンパ腫を起こしたHIV病
B21.3　リンパ組織，造血組織及び関連組織のその他の悪性新生物＜腫瘍＞を起こしたHIV病
B21.7　多発性の悪性新生物＜腫瘍＞を起こしたHIV病
B21.8　その他の悪性新生物＜腫瘍＞を起こしたHIV病
B21.9　詳細不明の悪性新生物＜腫瘍＞を起こしたHIV病
B22　その他の明示された疾患を起こしたヒト免疫不全ウイルス［HIV］病
B22.0　脳症を起こしたHIV病
B22.1　リンパ性間質性肺臓炎を起こしたHIV病
B22.2　消耗症候群を起こしたHIV病
B22.7　他に分類される多発疾患を起こしたHIV病
B23　その他の病態を起こしたヒト免疫不全ウイルス［HIV］病
B23.0　急性HIV感染症候群
B23.1　（遷延性）全身性リンパ節症を起こしたHIV病
B23.2　血液学的及び免疫学的異常を起こしたHIV病，他に分類されないもの
B23.8　その他の明示された病態を起こしたHIV病
B24　詳細不明のヒト免疫不全ウイルス［HIV］病
　B25-B34　その他のウイルス性疾患
B25　サイトメガロウイルス病
B25.0　サイトメガロウイルス（性）肺臓炎
B25.1　サイトメガロウイルス（性）肝炎
B25.2　サイトメガロウイルス（性）膵炎
B25.8　その他のサイトメガロウイルス病
B25.9　サイトメガロウイルス病，詳細不明
B26　ムンプス
B26.0　ムンプス精巣＜睾丸＞炎
B26.1　ムンプス髄膜炎
B26.2　ムンプス脳炎
B26.3　ムンプス膵炎
B26.8　ムンプス，その他の合併症を伴うもの
B26.9　ムンプス，合併症を伴わないもの
B27　伝染性単核症
B27.0　ガンマヘルペスウイルス（性）単核症
B27.1　サイトメガロウイルス（性）単核症
B27.8　その他の伝染性単核症
B27.9　伝染性単核症，詳細不明
B30　ウイルス（性）結膜炎
B30.0　アデノウイルスによる角結膜炎
B30.1　アデノウイルスによる結膜炎
B30.2　ウイルス（性）咽頭結膜炎
B30.3　急性流行性出血性結膜炎（エンテロウイルス性）
B30.8　その他のウイルス（性）結膜炎
B30.9　ウイルス（性）結膜炎，詳細不明
B33　その他のウイルス性疾患，他に分類されないもの
B33.0　流行性筋痛
B33.1　ロスリバー＜Ross River＞疾患＜病＞
B33.2　ウイルス性心炎
B33.3　レトロウイルス感染症，他に分類されないもの
B33.4　ハンタ＜Hanta＞ウイルス（心）肺症候群［HPS］［HCPS］
B33.8　その他の明示されたウイルス性疾患
B34　部位不明のウイルス感染症
B34.0　アデノウイルス感染症，部位不明
B34.1　エンテロウイルス感染症，部位不明
B34.2　コロナウイルス感染症，部位不明
B34.3　パルボウイルス感染症，部位不明
B34.4　パポバウイルス感染症，部位不明
B34.8　部位不明のその他のウイルス感染症
B34.9　ウイルス感染症，詳細不明
　B35-B49　真菌症
B35　皮膚糸状菌症
B35.0　白せん＜癬＞性毛瘡及び頭部白せん＜癬＞
B35.1　爪白せん＜癬＞
B35.2　手白せん＜癬＞
B35.3　足白せん＜癬＞
B35.4　体部白せん＜癬＞
B35.5　渦状せん＜癬＞
B35.6　（陰）股部白せん＜癬＞
B35.8　その他の皮膚糸状菌症
B35.9　皮膚糸状菌症，詳細不明
B36　その他の表在性真菌症
B36.0　でん＜癜＞風＜なまず＞
B36.1　黒せん＜癬＞
B36.2　白（色）砂毛（症）
B36.3　黒（色）砂毛（症）
B36.8　その他の明示された表在性真菌症
B36.9　表在性真菌症，詳細不明
B37　カンジダ症
B37.0　カンジダ性口内炎
B37.1　肺カンジダ症
B37.2　皮膚及び爪のカンジダ症
B37.3　外陰及び腟のカンジダ症
B37.4　その他の部位の尿路性器のカンジダ症
B37.5　カンジダ性髄膜炎
B37.6　カンジダ性心内膜炎
B37.7　カンジダ性敗血症
